"Title","Caption","Copyright","Node Type"
"Anish Kapoor ","","","person"
"Farshid Moussavi ","Farshid Moussavi. ","AKDN","person"
"Mohsen Mostafavi","Mohsen Mostafavi. ","AKDN","person"
"Rahul Mehrotra","Rahul Mehrotra.","AKDN / Gary Otte","person"
"Glenn Lowry ","Glenn Lowry.","AKDN / Miko Mayer","person"
"Omar Abdulaziz Hallaj ","Omar Abdulaziz Hallaj.","AKDN","person"
"Norman Foster","Norman Foster.","Caroline Djanogly","person"
"Homi K. Bhabha","Homi K. Bhabha. ","","person"
"Mohammad al-Asad","Mohammad al-Asad.","AKDN","person"
"David Adjaye","David Adjaye.","Ed Reeve","person"
"Han Tümertekin ","Han Tümertekin.","Archnet","person"
"Howayda Al-Harithy ","Dr. Howayda Al-Harithy","","person"
"Michel Desvigne ","Michel Desvigne","","person"
"Faryar Javaherian ","","","person"
"Salah M. Hassan ","Salah M. Hassan. ","Miko Mayer","person"
"Souleymane Bachir Diagne ","Souleymane Bachir Diagne.","AKDN","person"
"Murat Tabanlıoğlu ","Murat Tabanlıoğlu ","","person"
"Shahzia Sikander ","Shahzia Sikander","","person"
"Wang Shu ","Wang Shu","","person"
"Toshiko Mori","Toshiko Mori","","person"
"Kamil Merican","Kamil Merican","","person"
"Mahmood Mamdani ","Mahmood Mamdani ","","person"
"H.E. Hamid Karzai","","","person"
